id,Prediction
1,9.046533e-05
2,0.99994946
3,0.02870199
4,0.00468809
5,4.5608627e-05
6,1.0
7,0.00084932
8,0.0171477
9,0.5473277
10,2.1370733e-08
11,1.0
12,1.0
13,0.9998048
14,0.7463981
15,0.995839
16,0.70386624
17,0.99997616
18,1.0
19,0.02163081
20,0.9455822
21,1.6248077e-08
22,0.9999895
23,0.9946844
24,0.9997305
25,1.0
26,0.00233729
27,1.0
28,0.99999845
29,1.0
30,0.9960031
31,1.0
32,0.99807227
33,9.332273e-11
34,4.6895985e-07
35,0.99999917
36,0.00089547
37,0.9955758
38,0.9999993
39,0.00863889
40,0.00429121
41,0.6507001
42,0.9996978
43,0.00102585
44,0.14100961
45,0.99998844
46,1.0
47,6.739292e-08
48,0.9423145
49,3.5562985e-12
50,0.69564104
51,0.9999373
52,1.0
53,1.4050799e-05
54,0.14188503
55,0.3645303
56,1.0
57,0.01793971
58,0.78955543
59,0.08333599
60,0.7893925
61,0.9999999
62,0.20538451
63,0.5473277
64,0.01737903
65,0.7564706
66,0.99961025
67,0.94648826
68,0.9318088
69,0.99996006
70,1.8838917e-06
71,5.887298e-05
72,0.6719866
73,0.9998697
74,0.99999356
75,2.0399219e-05
76,0.9998367
77,0.9999808
78,2.4010296e-09
79,0.9968064
80,0.9999999
81,0.93855315
82,1.0
83,1.2325555e-05
84,0.9473319
85,0.06307498
86,0.12583405
87,0.99929273
88,0.9303467
89,0.99034274
90,2.9177616e-05
91,0.99997854
92,0.05854385
93,0.9999912
94,1.0
95,0.52600545
96,1.0
97,1.9900626e-05
98,0.914772
99,0.9999578
100,0.999992
101,1.0
102,0.00429121
103,1.0
104,0.8151629
105,0.39625323
106,1.0
107,0.78955543
108,9.484396e-06
109,1.0
110,0.53168756
111,0.02494096
112,0.9998374
113,0.2711753
114,0.1511875
115,0.01716862
116,3.1065425e-05
117,1.0
118,0.06842394
119,0.01722765
120,1.0
121,1.0
122,0.7864152
123,1.0
124,0.99360496
125,0.99579215
126,1.0
127,1.2547137e-08
128,0.01613483
129,1.0
130,0.9943674
131,0.9591836
132,0.00683888
133,1.0
134,0.99998224
135,0.99735415
136,2.9718042e-06
137,9.373875e-15
138,0.07310502
139,6.5476996e-08
140,0.33912334
141,1.0
142,0.90401995
143,1.0
144,3.261898e-05
145,0.9996376
146,1.0
147,0.9999951
148,1.0
149,0.5956396
150,0.3161349
151,0.99999785
152,0.04483466
153,0.72169673
154,0.00010244
155,0.99999416
156,0.9999999
157,6.255961e-07
158,0.93634135
159,8.095134e-06
160,0.9353038
161,0.99999833
162,0.4703205
163,7.3834344e-05
164,0.9999999
165,0.00525332
166,2.8734878e-06
167,4.6895985e-07
168,0.01725405
169,0.99985206
170,4.196255e-07
171,0.00310994
172,0.9999994
173,0.99766773
174,0.1645936
175,0.9997242
176,0.02071804
177,0.02163081
178,0.7913304
179,0.11533371
180,1.0
181,0.9999989
182,1.8176227e-07
183,1.0
184,0.99915814
185,0.9974226
186,0.436261
187,0.4073166
188,0.9999999
189,0.82831186
190,0.05269637
191,0.00223763
192,0.01580264
193,4.1574413e-08
194,0.9999449
195,4.596661e-10
196,5.887298e-05
197,0.48086256
198,0.9976655
199,0.9999993
200,0.99999475
201,0.9609361
202,0.821602
203,1.0
204,0.93171465
205,9.417119e-07
206,1.0
207,0.6507001
